2017-03-27  14:12:50.117,  Generating log file
2017-03-27  14:12:50.129,  loading data from: Star-Wars-Yoda.csv
2017-03-27  14:12:50.245,  Connected to Arduino on /dev/ttyACM0
2017-03-27  14:12:52.272,  2 / 218,   14.0 12.0
2017-03-27  14:12:52.332,  3 / 218,   13.0 9.0
2017-03-27  14:12:52.991,  4 / 218,   6.0 4.0
2017-03-27  14:12:53.671,  5 / 218,   6.0 7.0
2017-03-27  14:12:54.057,  6 / 218,   22.0 22.0
2017-03-27  14:12:54.454,  7 / 218,   20.0 19.0
2017-03-27  14:12:55.401,  8 / 218,   16.0 12.0
2017-03-27  14:12:56.286,  9 / 218,   7.0 4.0
2017-03-27  14:12:57.077,  10 / 218,   7.0 1.0
2017-03-27  14:12:57.464,  11 / 218,   7.0 -1.0
2017-03-27  14:12:57.912,  12 / 218,   4.0 -6.0
2017-03-27  14:12:58.319,  13 / 218,   14.0 -14.0
2017-03-27  14:12:58.463,  14 / 218,   19.0 -7.0
2017-03-27  14:12:58.526,  15 / 218,   27.0 -2.0
2017-03-27  14:12:59.188,  16 / 218,   41.0 3.0
2017-03-27  14:13:00.238,  17 / 218,   39.0 5.0
2017-03-27  14:13:01.601,  18 / 218,   8.0 2.0
2017-03-27  14:13:02.899,  19 / 218,   2.0 2.0
2017-03-27  14:13:03.406,  20 / 218,   -13.0 11.0
2017-03-27  14:13:03.565,  21 / 218,   -13.0 13.0
2017-03-27  14:13:04.217,  22 / 218,   -7.0 12.0
2017-03-27  14:13:04.569,  23 / 218,   -2.0 11.0
2017-03-27  14:13:05.071,  24 / 218,   3.0 10.0
2017-03-27  14:13:05.640,  25 / 218,   7.0 11.0
2017-03-27  14:13:06.213,  26 / 218,   10.0 9.0
2017-03-27  14:13:06.789,  27 / 218,   15.0 9.0
2017-03-27  14:13:07.341,  28 / 218,   17.0 6.0
2017-03-27  14:13:08.086,  29 / 218,   58.0 6.0
2017-03-27  14:13:08.907,  30 / 218,   90.0 9.0
2017-03-27  14:13:10.691,  31 / 218,   22.0 1.0
2017-03-27  14:13:13.301,  32 / 218,   16.0 -2.0
