2017-03-27  09:14:54.879,  Generating log file
2017-03-27  09:14:54.891,  loading data from: Star-Wars-Yoda.csv
2017-03-27  09:14:55.006,  Connected to Arduino on /dev/ttyACM0
2017-03-27  09:14:58.582,  99 / 218,   -11.0 11.0
2017-03-27  09:14:58.604,  100 / 218,   -6.0 6.0
2017-03-27  09:14:58.628,  101 / 218,   -6.0 3.0
2017-03-27  09:14:58.655,  102 / 218,   -6.0 4.0
2017-03-27  09:14:58.681,  103 / 218,   -6.0 5.0
2017-03-27  09:14:58.705,  104 / 218,   -7.0 6.0
2017-03-27  09:14:58.728,  105 / 218,   -8.0 7.0
2017-03-27  09:14:58.749,  106 / 218,   -10.0 10.0
2017-03-27  09:14:58.776,  107 / 218,   -8.0 8.0
2017-03-27  09:14:58.798,  108 / 218,   0.0 0.0
2017-03-27  09:14:58.820,  109 / 218,   160.0 -151.0
2017-03-27  09:14:58.841,  110 / 218,   6.0 -1.0
2017-03-27  09:14:58.864,  111 / 218,   11.0 2.0
2017-03-27  09:14:58.886,  112 / 218,   32.0 9.0
2017-03-27  09:14:58.907,  113 / 218,   27.0 11.0
2017-03-27  09:14:58.934,  114 / 218,   26.0 13.0
2017-03-27  09:14:58.955,  115 / 218,   29.0 17.0
2017-03-27  09:14:58.983,  116 / 218,   40.0 26.0
2017-03-27  09:14:59.005,  117 / 218,   21.0 13.0
2017-03-27  09:14:59.027,  118 / 218,   2.0 0.0
2017-03-27  09:14:59.048,  119 / 218,   2.0 -4.0
2017-03-27  09:14:59.075,  120 / 218,   10.0 -31.0
2017-03-27  09:14:59.097,  121 / 218,   15.0 -36.0
2017-03-27  09:14:59.118,  122 / 218,   17.0 3.0
2017-03-27  09:14:59.145,  123 / 218,   -2.0 10.0
2017-03-27  09:14:59.169,  124 / 218,   -11.0 33.0
2017-03-27  09:14:59.190,  125 / 218,   -9.0 36.0
2017-03-27  09:14:59.211,  126 / 218,   0.0 5.0
2017-03-27  09:14:59.240,  127 / 218,   1.0 2.0
2017-03-27  09:14:59.263,  128 / 218,   5.0 6.0
2017-03-27  09:14:59.284,  129 / 218,   1.0 4.0
2017-03-27  09:14:59.305,  130 / 218,   -1.0 3.0
2017-03-27  09:14:59.334,  131 / 218,   -6.0 4.0
2017-03-27  09:14:59.356,  132 / 218,   -4.0 1.0
2017-03-27  09:14:59.378,  133 / 218,   -5.0 61.0
2017-03-27  09:14:59.399,  134 / 218,   6.0 61.0
2017-03-27  09:14:59.420,  135 / 218,   -10.0 -2.0
2017-03-27  09:14:59.448,  136 / 218,   -10.0 -2.0
2017-03-27  09:14:59.470,  137 / 218,   -7.0 -67.0
2017-03-27  09:14:59.493,  138 / 218,   6.0 -67.0
2017-03-27  09:14:59.516,  139 / 218,   -3.0 -2.0
2017-03-27  09:14:59.542,  140 / 218,   -33.0 -20.0
2017-03-27  09:14:59.564,  141 / 218,   -51.0 -31.0
2017-03-27  09:14:59.586,  142 / 218,   -39.0 -20.0
2017-03-27  09:14:59.613,  143 / 218,   -37.0 -13.0
2017-03-27  09:14:59.636,  144 / 218,   -36.0 -9.0
2017-03-27  09:14:59.661,  145 / 218,   -4.0 -2.0
2017-03-27  09:14:59.682,  146 / 218,   2.0 -4.0
2017-03-27  09:14:59.710,  147 / 218,   5.0 -6.0
2017-03-27  09:14:59.731,  148 / 218,   5.0 -5.0
2017-03-27  09:14:59.753,  149 / 218,   72.0 -48.0
2017-03-27  09:14:59.782,  150 / 218,   2.0 13.0
2017-03-27  09:14:59.803,  151 / 218,   2.0 4.0
2017-03-27  09:14:59.824,  152 / 218,   11.0 1.0
2017-03-27  09:14:59.846,  153 / 218,   14.0 1.0
2017-03-27  09:14:59.867,  154 / 218,   9.0 -12.0
2017-03-27  09:14:59.891,  155 / 218,   9.0 -12.0
2017-03-27  09:14:59.912,  156 / 218,   -24.0 -4.0
2017-03-27  09:14:59.938,  157 / 218,   -21.0 -2.0
2017-03-27  09:14:59.963,  158 / 218,   -2.0 11.0
2017-03-27  09:14:59.984,  159 / 218,   0.0 0.0
2017-03-27  09:15:00.012,  160 / 218,   272.0 210.0
2017-03-27  09:15:00.034,  161 / 218,   5.0 17.0
2017-03-27  09:15:00.055,  162 / 218,   7.0 17.0
2017-03-27  09:15:00.083,  163 / 218,   10.0 20.0
2017-03-27  09:15:00.105,  164 / 218,   29.0 44.0
2017-03-27  09:15:00.126,  165 / 218,   22.0 29.0
2017-03-27  09:15:00.154,  166 / 218,   26.0 34.0
2017-03-27  09:15:00.179,  167 / 218,   15.0 18.0
