2017-03-27  09:24:19.369,  Generating log file
2017-03-27  09:24:19.382,  loading data from: Star-Wars-Yoda.csv
2017-03-27  09:24:19.496,  Connected to Arduino on /dev/ttyACM0
2017-03-27  09:24:21.520,  2 / 218,   14.0 12.0
2017-03-27  09:24:21.535,  3 / 218,   13.0 9.0
2017-03-27  09:24:21.550,  4 / 218,   6.0 4.0
2017-03-27  09:24:21.564,  5 / 218,   6.0 7.0
2017-03-27  09:24:21.576,  6 / 218,   22.0 22.0
2017-03-27  09:24:21.589,  7 / 218,   20.0 19.0
2017-03-27  09:24:21.601,  8 / 218,   16.0 12.0
2017-03-27  09:24:21.614,  9 / 218,   7.0 4.0
2017-03-27  09:24:21.627,  10 / 218,   7.0 1.0
2017-03-27  09:24:21.640,  11 / 218,   7.0 -1.0
2017-03-27  09:24:21.654,  12 / 218,   4.0 -6.0
2017-03-27  09:24:21.666,  13 / 218,   14.0 -14.0
2017-03-27  09:24:21.679,  14 / 218,   19.0 -7.0
2017-03-27  09:24:21.691,  15 / 218,   27.0 -2.0
2017-03-27  09:24:21.703,  16 / 218,   41.0 3.0
2017-03-27  09:24:21.716,  17 / 218,   39.0 5.0
2017-03-27  09:24:21.730,  18 / 218,   8.0 2.0
2017-03-27  09:24:21.742,  19 / 218,   2.0 2.0
2017-03-27  09:24:21.756,  20 / 218,   -13.0 11.0
2017-03-27  09:24:21.771,  21 / 218,   -13.0 13.0
2017-03-27  09:24:21.784,  22 / 218,   -7.0 12.0
2017-03-27  09:24:21.796,  23 / 218,   -2.0 11.0
2017-03-27  09:24:21.808,  24 / 218,   3.0 10.0
2017-03-27  09:24:21.823,  25 / 218,   7.0 11.0
2017-03-27  09:24:21.836,  26 / 218,   10.0 9.0
2017-03-27  09:24:21.851,  27 / 218,   15.0 9.0
2017-03-27  09:24:21.867,  28 / 218,   17.0 6.0
2017-03-27  09:24:21.881,  29 / 218,   58.0 6.0
2017-03-27  09:24:21.896,  30 / 218,   90.0 9.0
2017-03-27  09:24:21.910,  31 / 218,   22.0 1.0
2017-03-27  09:24:21.924,  32 / 218,   16.0 -2.0
2017-03-27  09:24:21.936,  33 / 218,   14.0 -7.0
2017-03-27  09:24:21.949,  34 / 218,   16.0 -13.0
2017-03-27  09:24:21.961,  35 / 218,   11.0 -12.0
2017-03-27  09:24:21.975,  36 / 218,   5.0 -12.0
2017-03-27  09:24:21.988,  37 / 218,   0.0 -10.0
2017-03-27  09:24:22.002,  38 / 218,   -2.0 -13.0
2017-03-27  09:24:22.015,  39 / 218,   -3.0 -12.0
2017-03-27  09:24:22.027,  40 / 218,   -4.0 -7.0
2017-03-27  09:24:22.039,  41 / 218,   -118.0 -113.0
2017-03-27  09:24:22.051,  42 / 218,   -6.0 -9.0
2017-03-27  09:24:22.065,  43 / 218,   15.0 -12.0
2017-03-27  09:24:22.078,  44 / 218,   41.0 -23.0
2017-03-27  09:24:22.090,  45 / 218,   41.0 -16.0
2017-03-27  09:24:22.102,  46 / 218,   25.0 -10.0
2017-03-27  09:24:22.118,  47 / 218,   20.0 -14.0
2017-03-27  09:24:22.131,  48 / 218,   6.0 -7.0
2017-03-27  09:24:22.145,  49 / 218,   4.0 -10.0
2017-03-27  09:24:22.157,  50 / 218,   4.0 -18.0
2017-03-27  09:24:22.170,  51 / 218,   -2.0 -16.0
2017-03-27  09:24:22.182,  52 / 218,   -8.0 -14.0
2017-03-27  09:24:22.197,  53 / 218,   -14.0 -11.0
2017-03-27  09:24:22.209,  54 / 218,   -32.0 -14.0
2017-03-27  09:24:22.222,  55 / 218,   -70.0 -21.0
2017-03-27  09:24:22.236,  56 / 218,   -43.0 -9.0
2017-03-27  09:24:22.248,  57 / 218,   -34.0 -2.0
2017-03-27  09:24:22.263,  58 / 218,   -14.0 1.0
2017-03-27  09:24:22.278,  59 / 218,   -12.0 3.0
2017-03-27  09:24:22.294,  60 / 218,   -11.0 4.0
2017-03-27  09:24:22.306,  61 / 218,   -10.0 5.0
2017-03-27  09:24:22.319,  62 / 218,   -7.0 5.0
2017-03-27  09:24:22.331,  63 / 218,   -10.0 13.0
2017-03-27  09:24:22.344,  64 / 218,   -9.0 13.0
2017-03-27  09:24:22.357,  65 / 218,   -3.0 8.0
2017-03-27  09:24:22.372,  66 / 218,   0.0 10.0
2017-03-27  09:24:22.384,  67 / 218,   5.0 9.0
2017-03-27  09:24:22.399,  68 / 218,   3.0 3.0
2017-03-27  09:24:22.412,  69 / 218,   -6.0 -2.0
2017-03-27  09:24:22.427,  70 / 218,   -14.0 -5.0
2017-03-27  09:24:22.439,  71 / 218,   -14.0 -6.0
2017-03-27  09:24:22.451,  72 / 218,   -9.0 -4.0
2017-03-27  09:24:22.463,  73 / 218,   -10.0 -6.0
2017-03-27  09:24:22.481,  74 / 218,   -7.0 -7.0
2017-03-27  09:24:22.493,  75 / 218,   -2.0 -8.0
2017-03-27  09:24:22.508,  76 / 218,   -1.0 -4.0
2017-03-27  09:24:22.524,  77 / 218,   6.0 -18.0
