2017-03-27  08:59:40.809,  Generating log file
2017-03-27  08:59:40.817,  loading data from: Star-Wars-Yoda.csv
2017-03-27  08:59:41.027,  Connected to Arduino on /dev/ttyACM0
2017-03-27  08:59:44.248,  99 / 218,   -11.0 11.0
2017-03-27  08:59:44.260,  100 / 218,   -6.0 6.0
2017-03-27  08:59:44.273,  101 / 218,   -6.0 3.0
2017-03-27  08:59:44.285,  102 / 218,   -6.0 4.0
2017-03-27  08:59:44.297,  103 / 218,   -6.0 5.0
2017-03-27  08:59:44.309,  104 / 218,   -7.0 6.0
2017-03-27  08:59:44.324,  105 / 218,   -8.0 7.0
2017-03-27  08:59:44.341,  106 / 218,   -10.0 10.0
2017-03-27  08:59:44.352,  107 / 218,   -8.0 8.0
2017-03-27  08:59:44.365,  108 / 218,   0.0 0.0
2017-03-27  08:59:44.377,  109 / 218,   160.0 -151.0
2017-03-27  08:59:44.389,  110 / 218,   6.0 -1.0
2017-03-27  08:59:44.401,  111 / 218,   11.0 2.0
2017-03-27  08:59:44.413,  112 / 218,   32.0 9.0
2017-03-27  08:59:44.430,  113 / 218,   27.0 11.0
2017-03-27  08:59:44.441,  114 / 218,   26.0 13.0
2017-03-27  08:59:44.455,  115 / 218,   29.0 17.0
2017-03-27  08:59:44.467,  116 / 218,   40.0 26.0
2017-03-27  08:59:44.480,  117 / 218,   21.0 13.0
2017-03-27  08:59:44.493,  118 / 218,   2.0 0.0
2017-03-27  08:59:44.504,  119 / 218,   2.0 -4.0
2017-03-27  08:59:44.519,  120 / 218,   10.0 -31.0
2017-03-27  08:59:44.531,  121 / 218,   15.0 -36.0
2017-03-27  08:59:44.543,  122 / 218,   17.0 3.0
2017-03-27  08:59:44.554,  123 / 218,   -2.0 10.0
2017-03-27  08:59:44.566,  124 / 218,   -11.0 33.0
2017-03-27  08:59:44.581,  125 / 218,   -9.0 36.0
2017-03-27  08:59:44.594,  126 / 218,   0.0 5.0
2017-03-27  08:59:44.605,  127 / 218,   1.0 2.0
2017-03-27  08:59:44.617,  128 / 218,   5.0 6.0
2017-03-27  08:59:44.629,  129 / 218,   1.0 4.0
2017-03-27  08:59:44.642,  130 / 218,   -1.0 3.0
2017-03-27  08:59:44.656,  131 / 218,   -6.0 4.0
2017-03-27  08:59:44.668,  132 / 218,   -4.0 1.0
2017-03-27  08:59:44.679,  133 / 218,   -5.0 61.0
2017-03-27  08:59:44.690,  134 / 218,   6.0 61.0
2017-03-27  08:59:44.702,  135 / 218,   -10.0 -2.0
2017-03-27  08:59:44.717,  136 / 218,   -10.0 -2.0
2017-03-27  08:59:44.729,  137 / 218,   -7.0 -67.0
2017-03-27  08:59:44.744,  138 / 218,   6.0 -67.0
2017-03-27  08:59:44.756,  139 / 218,   -3.0 -2.0
2017-03-27  08:59:44.767,  140 / 218,   -33.0 -20.0
2017-03-27  08:59:44.779,  141 / 218,   -51.0 -31.0
2017-03-27  08:59:44.796,  142 / 218,   -39.0 -20.0
2017-03-27  08:59:44.809,  143 / 218,   -37.0 -13.0
2017-03-27  08:59:44.823,  144 / 218,   -36.0 -9.0
2017-03-27  08:59:44.834,  145 / 218,   -4.0 -2.0
2017-03-27  08:59:44.849,  146 / 218,   2.0 -4.0
2017-03-27  08:59:44.860,  147 / 218,   5.0 -6.0
2017-03-27  08:59:44.872,  148 / 218,   5.0 -5.0
2017-03-27  08:59:44.884,  149 / 218,   72.0 -48.0
2017-03-27  08:59:44.898,  150 / 218,   2.0 13.0
2017-03-27  08:59:44.913,  151 / 218,   2.0 4.0
2017-03-27  08:59:44.931,  152 / 218,   11.0 1.0
2017-03-27  08:59:44.943,  153 / 218,   14.0 1.0
2017-03-27  08:59:44.954,  154 / 218,   9.0 -12.0
2017-03-27  08:59:44.966,  155 / 218,   9.0 -12.0
2017-03-27  08:59:44.977,  156 / 218,   -24.0 -4.0
2017-03-27  08:59:44.993,  157 / 218,   -21.0 -2.0
2017-03-27  08:59:45.005,  158 / 218,   -2.0 11.0
2017-03-27  08:59:45.018,  159 / 218,   0.0 0.0
2017-03-27  08:59:45.032,  160 / 218,   272.0 210.0
2017-03-27  08:59:45.046,  161 / 218,   5.0 17.0
2017-03-27  08:59:45.059,  162 / 218,   7.0 17.0
2017-03-27  08:59:45.072,  163 / 218,   10.0 20.0
2017-03-27  08:59:45.084,  164 / 218,   29.0 44.0
