2017-03-27  08:20:20.672,  Generating log file
2017-03-27  08:20:20.684,  loading data from: Star-Wars-Yoda.csv
2017-03-27  08:20:22.140,  100 / 218,   -6.0 6.0
2017-03-27  08:20:22.157,  101 / 218,   -6.0 3.0
2017-03-27  08:20:22.170,  102 / 218,   -6.0 4.0
2017-03-27  08:20:22.184,  103 / 218,   -6.0 5.0
2017-03-27  08:20:22.198,  104 / 218,   -7.0 6.0
2017-03-27  08:20:22.210,  105 / 218,   -8.0 7.0
2017-03-27  08:20:22.222,  106 / 218,   -10.0 10.0
2017-03-27  08:20:22.234,  107 / 218,   -8.0 8.0
2017-03-27  08:20:22.250,  108 / 218,   0.0 0.0
2017-03-27  08:20:22.266,  109 / 218,   160.0 -151.0
2017-03-27  08:20:22.279,  110 / 218,   6.0 -1.0
2017-03-27  08:20:22.291,  111 / 218,   11.0 2.0
2017-03-27  08:20:22.303,  112 / 218,   32.0 9.0
2017-03-27  08:20:22.315,  113 / 218,   27.0 11.0
2017-03-27  08:20:22.332,  114 / 218,   26.0 13.0
2017-03-27  08:20:22.344,  115 / 218,   29.0 17.0
2017-03-27  08:20:22.359,  116 / 218,   40.0 26.0
2017-03-27  08:20:22.370,  117 / 218,   21.0 13.0
2017-03-27  08:20:22.387,  118 / 218,   2.0 0.0
2017-03-27  08:20:22.399,  119 / 218,   2.0 -4.0
2017-03-27  08:20:22.411,  120 / 218,   10.0 -31.0
2017-03-27  08:20:22.423,  121 / 218,   15.0 -36.0
2017-03-27  08:20:22.435,  122 / 218,   17.0 3.0
2017-03-27  08:20:22.452,  123 / 218,   -2.0 10.0
2017-03-27  08:20:22.466,  124 / 218,   -11.0 33.0
2017-03-27  08:20:22.477,  125 / 218,   -9.0 36.0
2017-03-27  08:20:22.489,  126 / 218,   0.0 5.0
2017-03-27  08:20:22.502,  127 / 218,   1.0 2.0
2017-03-27  08:20:22.516,  128 / 218,   5.0 6.0
2017-03-27  08:20:22.530,  129 / 218,   1.0 4.0
2017-03-27  08:20:22.542,  130 / 218,   -1.0 3.0
2017-03-27  08:20:22.556,  131 / 218,   -6.0 4.0
2017-03-27  08:20:22.570,  132 / 218,   -4.0 1.0
2017-03-27  08:20:22.582,  133 / 218,   -5.0 61.0
2017-03-27  08:20:22.594,  134 / 218,   6.0 61.0
2017-03-27  08:20:22.606,  135 / 218,   -10.0 -2.0
2017-03-27  08:20:22.622,  136 / 218,   -10.0 -2.0
2017-03-27  08:20:22.634,  137 / 218,   -7.0 -67.0
2017-03-27  08:20:22.649,  138 / 218,   6.0 -67.0
2017-03-27  08:20:22.665,  139 / 218,   -3.0 -2.0
2017-03-27  08:20:22.678,  140 / 218,   -33.0 -20.0
2017-03-27  08:20:22.691,  141 / 218,   -51.0 -31.0
2017-03-27  08:20:22.706,  142 / 218,   -39.0 -20.0
2017-03-27  08:20:22.717,  143 / 218,   -37.0 -13.0
2017-03-27  08:20:22.730,  144 / 218,   -36.0 -9.0
2017-03-27  08:20:22.742,  145 / 218,   -4.0 -2.0
2017-03-27  08:20:22.757,  146 / 218,   2.0 -4.0
2017-03-27  08:20:22.772,  147 / 218,   5.0 -6.0
2017-03-27  08:20:22.785,  148 / 218,   5.0 -5.0
2017-03-27  08:20:22.797,  149 / 218,   72.0 -48.0
2017-03-27  08:20:22.809,  150 / 218,   2.0 13.0
2017-03-27  08:20:22.822,  151 / 218,   2.0 4.0
2017-03-27  08:20:22.834,  152 / 218,   11.0 1.0
2017-03-27  08:20:22.846,  153 / 218,   14.0 1.0
2017-03-27  08:20:22.858,  154 / 218,   9.0 -12.0
2017-03-27  08:20:22.876,  155 / 218,   9.0 -12.0
2017-03-27  08:20:22.888,  156 / 218,   -24.0 -4.0
2017-03-27  08:20:22.903,  157 / 218,   -21.0 -2.0
2017-03-27  08:20:22.917,  158 / 218,   -2.0 11.0
2017-03-27  08:20:22.930,  159 / 218,   0.0 0.0
2017-03-27  08:20:22.944,  160 / 218,   272.0 210.0
2017-03-27  08:20:22.958,  161 / 218,   5.0 17.0
2017-03-27  08:20:22.972,  162 / 218,   7.0 17.0
2017-03-27  08:20:22.984,  163 / 218,   10.0 20.0
2017-03-27  08:20:22.996,  164 / 218,   29.0 44.0
2017-03-27  08:20:23.012,  165 / 218,   22.0 29.0
2017-03-27  08:20:23.025,  166 / 218,   26.0 34.0
