2017-03-29  08:22:27.790,  Generating log file
2017-03-29  08:22:27.803,  loading data from: cat_outline_11_9_16_tsp.csv
2017-03-29  08:22:27.945,  Connected to Arduino on /dev/ttyACM0
2017-03-29  08:22:29.966,  2 / 702,   -2.0 -5.0
2017-03-29  08:22:30.032,  3 / 702,   -3.0 -5.0
2017-03-29  08:22:30.299,  4 / 702,   -3.0 -5.0
2017-03-29  08:22:30.647,  5 / 702,   -3.0 -5.0
2017-03-29  08:22:30.990,  6 / 702,   -5.0 -5.0
2017-03-29  08:22:31.334,  7 / 702,   -4.0 -7.0
2017-03-29  08:22:31.619,  8 / 702,   -6.0 -9.0
2017-03-29  08:22:32.068,  9 / 702,   -6.0 -9.0
2017-03-29  08:22:32.521,  10 / 702,   -19.0 -22.0
2017-03-29  08:22:33.005,  11 / 702,   -5.0 -5.0
2017-03-29  08:22:34.015,  12 / 702,   -6.0 -4.0
2017-03-29  08:22:34.311,  13 / 702,   -4.0 -4.0
2017-03-29  08:22:34.653,  14 / 702,   -2.0 -5.0
2017-03-29  08:22:34.995,  15 / 702,   1.0 -5.0
2017-03-29  08:22:35.237,  16 / 702,   2.0 -6.0
2017-03-29  08:22:35.579,  17 / 702,   4.0 -8.0
2017-03-29  08:22:36.023,  18 / 702,   2.0 -8.0
2017-03-29  08:22:36.500,  19 / 702,   2.0 -6.0
2017-03-29  08:22:36.979,  20 / 702,   2.0 -5.0
2017-03-29  08:22:37.426,  21 / 702,   2.0 -6.0
2017-03-29  08:22:37.701,  22 / 702,   2.0 -9.0
2017-03-29  08:22:38.178,  23 / 702,   7.0 -14.0
2017-03-29  08:22:38.608,  24 / 702,   3.0 -6.0
2017-03-29  08:22:39.332,  25 / 702,   3.0 -6.0
2017-03-29  08:22:39.748,  26 / 702,   2.0 -8.0
2017-03-29  08:22:40.234,  27 / 702,   2.0 -5.0
2017-03-29  08:22:40.717,  28 / 702,   4.0 -6.0
2017-03-29  08:22:41.000,  29 / 702,   -2.0 -5.0
2017-03-29  08:22:41.452,  30 / 702,   5.0 -1.0
2017-03-29  08:22:41.739,  31 / 702,   4.0 1.0
2017-03-29  08:22:41.999,  32 / 702,   6.0 -4.0
2017-03-29  08:22:42.342,  33 / 702,   3.0 2.0
