2017-03-27  07:53:21.034,  126 / 218
2017-03-27  07:53:21.048,  127 / 218
2017-03-27  07:53:21.062,  128 / 218
2017-03-27  07:53:21.074,  129 / 218
2017-03-27  07:53:21.086,  130 / 218
2017-03-27  07:53:21.098,  131 / 218
2017-03-27  07:53:21.110,  132 / 218
2017-03-27  07:53:21.122,  133 / 218
2017-03-27  07:53:21.134,  134 / 218
2017-03-27  07:53:21.147,  135 / 218
2017-03-27  07:53:21.162,  136 / 218
2017-03-27  07:53:21.174,  137 / 218
2017-03-27  07:53:21.186,  138 / 218
2017-03-27  07:53:21.197,  139 / 218
2017-03-27  07:53:21.213,  140 / 218
2017-03-27  07:53:21.226,  141 / 218
2017-03-27  07:53:21.238,  142 / 218
2017-03-27  07:53:21.250,  143 / 218
2017-03-27  07:53:21.263,  144 / 218
2017-03-27  07:53:21.278,  145 / 218
2017-03-27  07:53:21.292,  146 / 218
2017-03-27  07:53:21.303,  147 / 218
2017-03-27  07:53:21.318,  148 / 218
2017-03-27  07:53:21.331,  149 / 218
2017-03-27  07:53:21.343,  150 / 218
2017-03-27  07:53:21.355,  151 / 218
2017-03-27  07:53:21.367,  152 / 218
2017-03-27  07:53:21.383,  153 / 218
2017-03-27  07:53:21.396,  154 / 218
2017-03-27  07:53:21.408,  155 / 218
2017-03-27  07:53:21.422,  156 / 218
2017-03-27  07:53:21.434,  157 / 218
2017-03-27  07:53:21.448,  158 / 218
2017-03-27  07:53:21.463,  159 / 218
2017-03-27  07:53:21.475,  160 / 218
2017-03-27  07:53:21.486,  161 / 218
2017-03-27  07:53:21.501,  162 / 218
2017-03-27  07:53:21.513,  163 / 218
2017-03-27  07:53:21.528,  164 / 218
2017-03-27  07:53:21.540,  165 / 218
2017-03-27  07:53:21.553,  166 / 218
2017-03-27  07:53:21.566,  167 / 218
2017-03-27  07:53:21.578,  168 / 218
2017-03-27  07:53:21.591,  169 / 218
2017-03-27  07:53:21.603,  170 / 218
2017-03-27  07:53:21.618,  171 / 218
2017-03-27  07:53:21.632,  172 / 218
2017-03-27  07:53:21.644,  173 / 218
2017-03-27  07:53:21.656,  174 / 218
2017-03-27  07:53:21.668,  175 / 218
2017-03-27  07:53:21.683,  176 / 218
2017-03-27  07:53:21.695,  177 / 218
2017-03-27  07:53:21.709,  178 / 218
2017-03-27  07:53:21.723,  179 / 218
