2017-03-27  09:16:19.720,  Generating log file
2017-03-27  09:16:19.732,  loading data from: Star-Wars-Yoda.csv
2017-03-27  09:16:19.845,  Connected to Arduino on /dev/ttyACM0
2017-03-27  09:16:21.869,  2 / 218,   14.0 12.0
2017-03-27  09:16:21.885,  3 / 218,   13.0 9.0
2017-03-27  09:16:21.899,  4 / 218,   6.0 4.0
2017-03-27  09:16:21.916,  5 / 218,   6.0 7.0
2017-03-27  09:16:21.928,  6 / 218,   22.0 22.0
2017-03-27  09:16:21.942,  7 / 218,   20.0 19.0
2017-03-27  09:16:21.959,  8 / 218,   16.0 12.0
2017-03-27  09:16:21.973,  9 / 218,   7.0 4.0
2017-03-27  09:16:21.988,  10 / 218,   7.0 1.0
2017-03-27  09:16:22.000,  11 / 218,   7.0 -1.0
2017-03-27  09:16:22.012,  12 / 218,   4.0 -6.0
2017-03-27  09:16:22.026,  13 / 218,   14.0 -14.0
2017-03-27  09:16:22.039,  14 / 218,   19.0 -7.0
2017-03-27  09:16:22.052,  15 / 218,   27.0 -2.0
2017-03-27  09:16:22.064,  16 / 218,   41.0 3.0
2017-03-27  09:16:22.076,  17 / 218,   39.0 5.0
2017-03-27  09:16:22.093,  18 / 218,   8.0 2.0
2017-03-27  09:16:22.105,  19 / 218,   2.0 2.0
2017-03-27  09:16:22.117,  20 / 218,   -13.0 11.0
2017-03-27  09:16:22.131,  21 / 218,   -13.0 13.0
2017-03-27  09:16:22.143,  22 / 218,   -7.0 12.0
2017-03-27  09:16:22.157,  23 / 218,   -2.0 11.0
2017-03-27  09:16:22.170,  24 / 218,   3.0 10.0
2017-03-27  09:16:22.182,  25 / 218,   7.0 11.0
2017-03-27  09:16:22.194,  26 / 218,   10.0 9.0
2017-03-27  09:16:22.208,  27 / 218,   15.0 9.0
2017-03-27  09:16:22.221,  28 / 218,   17.0 6.0
2017-03-27  09:16:22.235,  29 / 218,   58.0 6.0
2017-03-27  09:16:22.247,  30 / 218,   90.0 9.0
