2017-04-02  14:56:39.755,  Generating log file
2017-04-02  14:56:39.756,  loading data from: cat_outline_11_9_16_tsp.csv
2017-04-02  14:56:39.927,  Connected to Arduino on /dev/ttyACM0
2017-04-02  14:56:41.951,  2 / 702,   4.0 -2.0
2017-04-02  14:56:42.012,  3 / 702,   5.0 0.0
2017-04-02  14:56:42.263,  4 / 702,   5.0 0.0
2017-04-02  14:56:42.616,  5 / 702,   5.0 0.0
2017-04-02  14:56:42.891,  6 / 702,   7.0 1.0
2017-04-02  14:56:43.276,  7 / 702,   8.0 0.0
2017-04-02  14:56:43.641,  8 / 702,   10.0 0.0
2017-04-02  14:56:44.121,  9 / 702,   10.0 0.0
2017-04-02  14:56:44.680,  10 / 702,   29.0 7.0
2017-04-02  14:56:45.249,  11 / 702,   8.0 2.0
2017-04-02  14:56:46.306,  12 / 702,   7.0 3.0
2017-04-02  14:56:46.810,  13 / 702,   6.0 2.0
2017-04-02  14:56:47.215,  14 / 702,   5.0 0.0
2017-04-02  14:56:47.670,  15 / 702,   3.0 -3.0
2017-04-02  14:56:47.966,  16 / 702,   4.0 -4.0
2017-04-02  14:56:48.118,  17 / 702,   4.0 -6.0
2017-04-02  14:56:48.223,  18 / 702,   5.0 -4.0
2017-04-02  14:56:48.498,  19 / 702,   4.0 -3.0
2017-04-02  14:56:48.562,  20 / 702,   3.0 -3.0
2017-04-02  14:56:48.638,  21 / 702,   4.0 -3.0
2017-04-02  14:56:48.708,  22 / 702,   7.0 -4.0
2017-04-02  14:56:48.776,  23 / 702,   8.0 -9.0
2017-04-02  14:56:49.230,  24 / 702,   4.0 -3.0
2017-04-02  14:56:49.297,  25 / 702,   4.0 -3.0
2017-04-02  14:56:49.387,  26 / 702,   6.0 -3.0
2017-04-02  14:56:49.539,  27 / 702,   3.0 -3.0
2017-04-02  14:56:49.906,  28 / 702,   3.0 -5.0
2017-04-02  14:56:50.057,  29 / 702,   7.0 1.0
2017-04-02  14:56:50.228,  30 / 702,   -2.0 -5.0
2017-04-02  14:56:50.590,  31 / 702,   -4.0 -4.0
2017-04-02  14:56:50.857,  32 / 702,   0.0 -6.0
2017-04-02  14:56:51.209,  33 / 702,   -5.0 -3.0
2017-04-02  14:56:51.662,  34 / 702,   2.0 -6.0
2017-04-02  14:56:51.913,  35 / 702,   -4.0 -6.0
2017-04-02  14:56:52.265,  36 / 702,   2.0 -6.0
2017-04-02  14:56:52.663,  37 / 702,   -4.0 -6.0
2017-04-02  14:56:53.116,  38 / 702,   2.0 -6.0
2017-04-02  14:56:53.545,  39 / 702,   -1.0 -8.0
2017-04-02  14:56:53.981,  40 / 702,   1.0 -7.0
2017-04-02  14:56:54.443,  41 / 702,   1.0 -7.0
2017-04-02  14:56:54.836,  42 / 702,   1.0 -7.0
2017-04-02  14:56:55.289,  43 / 702,   2.0 -4.0
2017-04-02  14:56:55.664,  44 / 702,   2.0 -6.0
2017-04-02  14:56:55.969,  45 / 702,   5.0 -4.0
2017-04-02  14:56:56.419,  46 / 702,   4.0 1.0
2017-04-02  14:56:56.493,  47 / 702,   7.0 2.0
2017-04-02  14:56:57.951,  48 / 702,   7.0 4.0
2017-04-02  14:56:58.334,  49 / 702,   5.0 0.0
2017-04-02  14:56:58.686,  50 / 702,   6.0 5.0
2017-04-02  14:56:59.038,  51 / 702,   7.0 4.0
2017-04-02  14:56:59.410,  52 / 702,   7.0 4.0
2017-04-02  14:56:59.793,  53 / 702,   7.0 4.0
2017-04-02  14:57:00.186,  54 / 702,   6.0 7.0
2017-04-02  14:57:00.567,  55 / 702,   6.0 5.0
2017-04-02  14:57:00.959,  56 / 702,   5.0 5.0
2017-04-02  14:57:01.414,  57 / 702,   6.0 3.0
2017-04-02  14:57:01.681,  58 / 702,   5.0 8.0
2017-04-02  14:57:02.133,  59 / 702,   4.0 6.0
2017-04-02  14:57:02.598,  60 / 702,   4.0 6.0
2017-04-02  14:57:02.991,  61 / 702,   2.0 5.0
2017-04-02  14:57:03.475,  62 / 702,   -1.0 7.0
2017-04-02  14:57:03.743,  63 / 702,   4.0 1.0
2017-04-02  14:57:04.195,  64 / 702,   6.0 3.0
2017-04-02  14:57:04.449,  65 / 702,   7.0 4.0
