2017-03-27  08:16:45.406,  Generating log file
2017-03-27  08:16:45.418,  loading data from: Star-Wars-Yoda.csv
2017-03-27  08:16:45.533,  2 / 218
2017-03-27  08:16:45.546,  3 / 218
2017-03-27  08:16:45.558,  4 / 218
2017-03-27  08:16:45.572,  5 / 218
2017-03-27  08:16:45.585,  6 / 218
2017-03-27  08:16:45.600,  7 / 218
2017-03-27  08:16:45.613,  8 / 218
2017-03-27  08:16:45.627,  9 / 218
2017-03-27  08:16:45.642,  10 / 218
2017-03-27  08:16:45.654,  11 / 218
2017-03-27  08:16:45.666,  12 / 218
2017-03-27  08:16:45.684,  13 / 218
2017-03-27  08:16:45.696,  14 / 218
2017-03-27  08:16:45.710,  15 / 218
2017-03-27  08:16:45.725,  16 / 218
2017-03-27  08:16:45.741,  17 / 218
2017-03-27  08:16:45.755,  18 / 218
2017-03-27  08:16:45.767,  19 / 218
2017-03-27  08:16:45.785,  20 / 218
2017-03-27  08:16:45.800,  21 / 218
2017-03-27  08:16:45.814,  22 / 218
2017-03-27  08:16:45.828,  23 / 218
2017-03-27  08:16:45.840,  24 / 218
2017-03-27  08:16:45.858,  25 / 218
2017-03-27  08:16:45.884,  26 / 218
2017-03-27  08:16:45.906,  27 / 218
2017-03-27  08:16:45.932,  28 / 218
2017-03-27  08:16:45.954,  29 / 218
2017-03-27  08:16:45.968,  30 / 218
2017-03-27  08:16:45.982,  31 / 218
2017-03-27  08:16:45.996,  32 / 218
2017-03-27  08:16:46.010,  33 / 218
2017-03-27  08:16:46.023,  34 / 218
2017-03-27  08:16:46.039,  35 / 218
2017-03-27  08:16:46.051,  36 / 218
2017-03-27  08:16:46.067,  37 / 218
2017-03-27  08:16:46.082,  38 / 218
2017-03-27  08:16:46.095,  39 / 218
2017-03-27  08:16:46.107,  40 / 218
2017-03-27  08:16:46.119,  41 / 218
2017-03-27  08:16:46.134,  42 / 218
2017-03-27  08:16:46.148,  43 / 218
2017-03-27  08:16:46.160,  44 / 218
2017-03-27  08:16:46.172,  45 / 218
