2017-03-29  14:37:56.565,  Generating log file
2017-03-29  14:37:56.578,  loading data from: cat_outline_11_9_16_tsp.csv
2017-03-29  14:37:56.720,  Connected to Arduino on /dev/ttyACM0
2017-03-29  14:37:58.752,  2 / 702,   -2.0 -5.0
2017-03-29  14:37:58.835,  3 / 702,   -3.0 -5.0
2017-03-29  14:37:59.077,  4 / 702,   -3.0 -5.0
2017-03-29  14:37:59.420,  5 / 702,   -3.0 -5.0
2017-03-29  14:37:59.764,  6 / 702,   -5.0 -5.0
2017-03-29  14:38:00.108,  7 / 702,   -4.0 -7.0
2017-03-29  14:38:00.398,  8 / 702,   -6.0 -9.0
2017-03-29  14:38:00.846,  9 / 702,   -6.0 -9.0
2017-03-29  14:38:01.323,  10 / 702,   -19.0 -22.0
2017-03-29  14:38:01.806,  11 / 702,   -5.0 -5.0
2017-03-29  14:38:02.758,  12 / 702,   -6.0 -4.0
2017-03-29  14:38:03.101,  13 / 702,   -4.0 -4.0
2017-03-29  14:38:03.475,  14 / 702,   -2.0 -5.0
2017-03-29  14:38:03.741,  15 / 702,   1.0 -5.0
2017-03-29  14:38:03.987,  16 / 702,   2.0 -6.0
2017-03-29  14:38:04.339,  17 / 702,   4.0 -8.0
2017-03-29  14:38:04.730,  18 / 702,   2.0 -8.0
2017-03-29  14:38:05.279,  19 / 702,   2.0 -6.0
2017-03-29  14:38:05.726,  20 / 702,   2.0 -5.0
