2017-03-27  13:36:05.906,  Generating log file
2017-03-27  13:36:05.918,  loading data from: Star-Wars-Yoda.csv
2017-03-27  13:36:06.045,  Connected to Arduino on /dev/ttyACM1
2017-03-27  13:36:08.066,  2 / 218,   14.0 12.0
2017-03-27  13:36:08.147,  3 / 218,   13.0 9.0
2017-03-27  13:36:08.830,  4 / 218,   6.0 4.0
2017-03-27  13:36:09.513,  5 / 218,   6.0 7.0
2017-03-27  13:36:09.879,  6 / 218,   22.0 22.0
2017-03-27  13:36:10.256,  7 / 218,   20.0 19.0
2017-03-27  13:36:11.206,  8 / 218,   16.0 12.0
2017-03-27  13:36:12.092,  9 / 218,   7.0 4.0
2017-03-27  13:36:12.881,  10 / 218,   7.0 1.0
2017-03-27  13:36:13.295,  11 / 218,   7.0 -1.0
2017-03-27  13:36:13.680,  12 / 218,   4.0 -6.0
2017-03-27  13:36:14.131,  13 / 218,   14.0 -14.0
2017-03-27  13:36:14.273,  14 / 218,   19.0 -7.0
2017-03-27  13:36:14.328,  15 / 218,   27.0 -2.0
2017-03-27  13:36:15.073,  16 / 218,   41.0 3.0
2017-03-27  13:36:16.047,  17 / 218,   39.0 5.0
2017-03-27  13:36:17.398,  18 / 218,   8.0 2.0
2017-03-27  13:36:18.779,  19 / 218,   2.0 2.0
2017-03-27  13:36:19.233,  20 / 218,   -13.0 11.0
2017-03-27  13:36:19.376,  21 / 218,   -13.0 13.0
2017-03-27  13:36:20.022,  22 / 218,   -7.0 12.0
2017-03-27  13:36:20.366,  23 / 218,   -2.0 11.0
2017-03-27  13:36:20.911,  24 / 218,   3.0 10.0
2017-03-27  13:36:21.456,  25 / 218,   7.0 11.0
2017-03-27  13:36:22.001,  26 / 218,   10.0 9.0
2017-03-27  13:36:22.573,  27 / 218,   15.0 9.0
2017-03-27  13:36:23.131,  28 / 218,   17.0 6.0
2017-03-27  13:36:23.917,  29 / 218,   58.0 6.0
2017-03-27  13:36:24.664,  30 / 218,   90.0 9.0
2017-03-27  13:36:26.519,  31 / 218,   22.0 1.0
2017-03-27  13:36:29.109,  32 / 218,   16.0 -2.0
2017-03-27  13:36:30.007,  33 / 218,   14.0 -7.0
2017-03-27  13:36:30.857,  34 / 218,   16.0 -13.0
2017-03-27  13:36:31.548,  35 / 218,   11.0 -12.0
2017-03-27  13:36:32.346,  36 / 218,   5.0 -12.0
2017-03-27  13:36:32.406,  37 / 218,   0.0 -10.0
2017-03-27  13:36:32.976,  38 / 218,   -2.0 -13.0
2017-03-27  13:36:33.567,  39 / 218,   -3.0 -12.0
2017-03-27  13:36:34.223,  40 / 218,   -4.0 -7.0
2017-03-27  13:36:34.868,  41 / 218,   -118.0 -113.0
2017-03-27  13:36:35.249,  42 / 218,   -6.0 -9.0
2017-03-27  13:36:38.859,  43 / 218,   15.0 -12.0
2017-03-27  13:36:39.346,  44 / 218,   41.0 -23.0
2017-03-27  13:36:39.910,  45 / 218,   41.0 -16.0
2017-03-27  13:36:41.259,  46 / 218,   25.0 -10.0
2017-03-27  13:36:42.612,  47 / 218,   20.0 -14.0
2017-03-27  13:36:43.592,  48 / 218,   6.0 -7.0
2017-03-27  13:36:44.455,  49 / 218,   4.0 -10.0
2017-03-27  13:36:44.519,  50 / 218,   4.0 -18.0
2017-03-27  13:36:45.064,  51 / 218,   -2.0 -16.0
2017-03-27  13:36:45.926,  52 / 218,   -8.0 -14.0
2017-03-27  13:36:46.721,  53 / 218,   -14.0 -11.0
2017-03-27  13:36:47.466,  54 / 218,   -32.0 -14.0
2017-03-27  13:36:48.142,  55 / 218,   -70.0 -21.0
2017-03-27  13:36:49.331,  56 / 218,   -43.0 -9.0
2017-03-27  13:36:51.445,  57 / 218,   -34.0 -2.0
2017-03-27  13:36:52.835,  58 / 218,   -14.0 1.0
2017-03-27  13:36:54.060,  59 / 218,   -12.0 3.0
2017-03-27  13:36:54.852,  60 / 218,   -11.0 4.0
2017-03-27  13:36:55.442,  61 / 218,   -10.0 5.0
2017-03-27  13:36:56.025,  62 / 218,   -7.0 5.0
2017-03-27  13:36:56.519,  63 / 218,   -10.0 13.0
2017-03-27  13:36:56.969,  64 / 218,   -9.0 13.0
2017-03-27  13:36:57.513,  65 / 218,   -3.0 8.0
2017-03-27  13:36:58.186,  66 / 218,   0.0 10.0
2017-03-27  13:36:58.639,  67 / 218,   5.0 9.0
2017-03-27  13:36:59.186,  68 / 218,   3.0 3.0
2017-03-27  13:36:59.643,  69 / 218,   -6.0 -2.0
2017-03-27  13:36:59.891,  70 / 218,   -14.0 -5.0
2017-03-27  13:37:00.241,  71 / 218,   -14.0 -6.0
2017-03-27  13:37:00.987,  72 / 218,   -9.0 -4.0
2017-03-27  13:37:01.733,  73 / 218,   -10.0 -6.0
2017-03-27  13:37:02.196,  74 / 218,   -7.0 -7.0
2017-03-27  13:37:02.760,  75 / 218,   -2.0 -8.0
2017-03-27  13:37:03.233,  76 / 218,   -1.0 -4.0
2017-03-27  13:37:03.624,  77 / 218,   6.0 -18.0
2017-03-27  13:37:03.919,  78 / 218,   3.0 -7.0
2017-03-27  13:37:04.866,  79 / 218,   -2.0 -1.0
2017-03-27  13:37:05.256,  80 / 218,   -7.0 5.0
2017-03-27  13:37:05.401,  81 / 218,   -11.0 10.0
2017-03-27  13:37:05.759,  82 / 218,   -9.0 9.0
2017-03-27  13:37:06.408,  83 / 218,   -10.0 10.0
2017-03-27  13:37:06.792,  84 / 218,   -10.0 10.0
2017-03-27  13:37:06.886,  85 / 218,   -10.0 11.0
2017-03-27  13:37:07.029,  86 / 218,   -7.0 8.0
2017-03-27  13:37:07.099,  87 / 218,   -3.0 3.0
2017-03-27  13:37:07.382,  88 / 218,   -5.0 4.0
2017-03-27  13:37:07.434,  89 / 218,   -6.0 5.0
2017-03-27  13:37:07.508,  90 / 218,   -6.0 6.0
2017-03-27  13:37:07.855,  91 / 218,   -7.0 7.0
2017-03-27  13:37:08.098,  92 / 218,   -8.0 8.0
2017-03-27  13:37:08.196,  93 / 218,   -16.0 16.0
2017-03-27  13:37:08.291,  94 / 218,   -15.0 15.0
2017-03-27  13:37:08.642,  95 / 218,   -10.0 11.0
2017-03-27  13:37:08.887,  96 / 218,   -5.0 9.0
2017-03-27  13:37:08.941,  97 / 218,   -2.0 4.0
2017-03-27  13:37:09.385,  98 / 218,   -8.0 8.0
2017-03-27  13:37:09.665,  99 / 218,   -11.0 11.0
2017-03-27  13:37:10.114,  100 / 218,   -6.0 6.0
2017-03-27  13:37:10.558,  101 / 218,   -6.0 3.0
2017-03-27  13:37:10.613,  102 / 218,   -6.0 4.0
2017-03-27  13:37:10.957,  103 / 218,   -6.0 5.0
2017-03-27  13:37:11.330,  104 / 218,   -7.0 6.0
2017-03-27  13:37:11.777,  105 / 218,   -8.0 7.0
2017-03-27  13:37:12.149,  106 / 218,   -10.0 10.0
2017-03-27  13:37:12.632,  107 / 218,   -8.0 8.0
2017-03-27  13:37:13.076,  108 / 218,   0.0 0.0
2017-03-27  13:37:13.180,  109 / 218,   160.0 -151.0
2017-03-27  13:37:13.247,  110 / 218,   6.0 -1.0
2017-03-27  13:37:17.910,  111 / 218,   11.0 2.0
2017-03-27  13:37:18.394,  112 / 218,   32.0 9.0
2017-03-27  13:37:18.881,  113 / 218,   27.0 11.0
2017-03-27  13:37:20.048,  114 / 218,   26.0 13.0
2017-03-27  13:37:21.102,  115 / 218,   29.0 17.0
2017-03-27  13:37:22.156,  116 / 218,   40.0 26.0
2017-03-27  13:37:23.235,  117 / 218,   21.0 13.0
2017-03-27  13:37:24.625,  118 / 218,   2.0 0.0
2017-03-27  13:37:25.474,  119 / 218,   2.0 -4.0
2017-03-27  13:37:25.617,  120 / 218,   10.0 -31.0
2017-03-27  13:37:25.771,  121 / 218,   15.0 -36.0
2017-03-27  13:37:26.919,  122 / 218,   17.0 3.0
2017-03-27  13:37:28.207,  123 / 218,   -2.0 10.0
2017-03-27  13:37:28.993,  124 / 218,   -11.0 33.0
2017-03-27  13:37:29.453,  125 / 218,   -9.0 36.0
2017-03-27  13:37:30.701,  126 / 218,   0.0 5.0
2017-03-27  13:37:31.967,  127 / 218,   1.0 2.0
2017-03-27  13:37:32.315,  128 / 218,   5.0 6.0
2017-03-27  13:37:32.459,  129 / 218,   1.0 4.0
2017-03-27  13:37:32.903,  130 / 218,   -1.0 3.0
2017-03-27  13:37:33.281,  131 / 218,   -6.0 4.0
2017-03-27  13:37:33.441,  132 / 218,   -4.0 1.0
2017-03-27  13:37:33.611,  133 / 218,   -5.0 61.0
2017-03-27  13:37:33.858,  134 / 218,   6.0 61.0
2017-03-27  13:37:35.618,  135 / 218,   -10.0 -2.0
2017-03-27  13:37:37.473,  136 / 218,   -10.0 -2.0
2017-03-27  13:37:37.957,  137 / 218,   -7.0 -67.0
2017-03-27  13:37:38.533,  138 / 218,   6.0 -67.0
2017-03-27  13:37:40.481,  139 / 218,   -3.0 -2.0
2017-03-27  13:37:42.397,  140 / 218,   -33.0 -20.0
2017-03-27  13:37:42.577,  141 / 218,   -51.0 -31.0
2017-03-27  13:37:43.760,  142 / 218,   -39.0 -20.0
2017-03-27  13:37:45.458,  143 / 218,   -37.0 -13.0
2017-03-27  13:37:46.747,  144 / 218,   -36.0 -9.0
2017-03-27  13:37:48.032,  145 / 218,   -4.0 -2.0
2017-03-27  13:37:49.312,  146 / 218,   2.0 -4.0
2017-03-27  13:37:49.559,  147 / 218,   5.0 -6.0
2017-03-27  13:37:49.719,  148 / 218,   5.0 -5.0
2017-03-27  13:37:50.062,  149 / 218,   72.0 -48.0
2017-03-27  13:37:50.406,  150 / 218,   2.0 13.0
2017-03-27  13:37:52.603,  151 / 218,   2.0 4.0
2017-03-27  13:37:53.277,  152 / 218,   11.0 1.0
2017-03-27  13:37:53.533,  153 / 218,   14.0 1.0
2017-03-27  13:37:54.020,  154 / 218,   9.0 -12.0
2017-03-27  13:37:54.770,  155 / 218,   9.0 -12.0
2017-03-27  13:37:55.415,  156 / 218,   -24.0 -4.0
2017-03-27  13:37:56.059,  157 / 218,   -21.0 -2.0
2017-03-27  13:37:57.005,  158 / 218,   -2.0 11.0
2017-03-27  13:37:57.857,  159 / 218,   0.0 0.0
2017-03-27  13:37:58.433,  160 / 218,   272.0 210.0
2017-03-27  13:37:58.522,  161 / 218,   5.0 17.0
2017-03-27  13:38:06.140,  162 / 218,   7.0 17.0
2017-03-27  13:38:06.925,  163 / 218,   10.0 20.0
2017-03-27  13:38:07.671,  164 / 218,   29.0 44.0
2017-03-27  13:38:08.590,  165 / 218,   22.0 29.0
2017-03-27  13:38:10.092,  166 / 218,   26.0 34.0
2017-03-27  13:38:11.156,  167 / 218,   15.0 18.0
2017-03-27  13:38:12.410,  168 / 218,   21.0 20.0
2017-03-27  13:38:13.286,  169 / 218,   25.0 21.0
2017-03-27  13:38:14.182,  170 / 218,   22.0 15.0
2017-03-27  13:38:15.137,  171 / 218,   22.0 11.0
2017-03-27  13:38:16.083,  172 / 218,   12.0 4.0
2017-03-27  13:38:17.028,  173 / 218,   -3.0 -11.0
2017-03-27  13:38:17.628,  174 / 218,   -7.0 -18.0
2017-03-27  13:38:18.201,  175 / 218,   -10.0 -23.0
2017-03-27  13:38:19.055,  176 / 218,   -12.0 -21.0
2017-03-27  13:38:20.001,  177 / 218,   -14.0 -20.0
2017-03-27  13:38:20.896,  178 / 218,   -8.0 -10.0
2017-03-27  13:38:21.791,  179 / 218,   11.0 -4.0
2017-03-27  13:38:22.362,  180 / 218,   19.0 -7.0
2017-03-27  13:38:22.906,  181 / 218,   17.0 -10.0
2017-03-27  13:38:23.782,  182 / 218,   15.0 -12.0
2017-03-27  13:38:24.557,  183 / 218,   11.0 -14.0
2017-03-27  13:38:25.307,  184 / 218,   10.0 -21.0
2017-03-27  13:38:26.052,  185 / 218,   4.0 -25.0
2017-03-27  13:38:26.913,  186 / 218,   1.0 -16.0
2017-03-27  13:38:27.959,  187 / 218,   -2.0 -14.0
2017-03-27  13:38:28.840,  188 / 218,   -4.0 -17.0
2017-03-27  13:38:29.521,  189 / 218,   -7.0 -17.0
2017-03-27  13:38:30.292,  190 / 218,   -9.0 -18.0
2017-03-27  13:38:31.070,  191 / 218,   -11.0 -19.0
2017-03-27  13:38:31.964,  192 / 218,   -11.0 -16.0
2017-03-27  13:38:32.809,  193 / 218,   -20.0 -25.0
2017-03-27  13:38:33.602,  194 / 218,   -2.0 -5.0
2017-03-27  13:38:34.572,  195 / 218,   9.0 -11.0
2017-03-27  13:38:34.915,  196 / 218,   10.0 -12.0
2017-03-27  13:38:35.460,  197 / 218,   3.0 -4.0
2017-03-27  13:38:36.129,  198 / 218,   5.0 -6.0
2017-03-27  13:38:36.471,  199 / 218,   15.0 -19.0
2017-03-27  13:38:36.914,  200 / 218,   18.0 -28.0
2017-03-27  13:38:37.701,  201 / 218,   2.0 -5.0
2017-03-27  13:38:38.814,  202 / 218,   0.0 -3.0
2017-03-27  13:38:39.095,  203 / 218,   -4.0 -2.0
2017-03-27  13:38:39.337,  204 / 218,   -7.0 -2.0
2017-03-27  13:38:39.579,  205 / 218,   -16.0 -1.0
2017-03-27  13:38:39.970,  206 / 218,   -15.0 2.0
2017-03-27  13:38:40.815,  207 / 218,   -16.0 5.0
2017-03-27  13:38:41.560,  208 / 218,   -19.0 8.0
2017-03-27  13:38:42.334,  209 / 218,   -20.0 11.0
2017-03-27  13:38:43.207,  210 / 218,   -28.0 20.0
2017-03-27  13:38:44.093,  211 / 218,   -36.0 26.0
2017-03-27  13:38:45.154,  212 / 218,   -26.0 19.0
2017-03-27  13:38:46.430,  213 / 218,   -22.0 20.0
2017-03-27  13:38:47.493,  214 / 218,   -18.0 20.0
2017-03-27  13:38:48.469,  215 / 218,   -12.0 18.0
2017-03-27  13:38:49.156,  216 / 218,   -6.0 21.0
2017-03-27  13:38:49.935,  217 / 218,   -1.0 19.0
2017-03-27  13:38:50.825,  218 / 218,   0.0 0.0
