2017-03-29  08:24:12.437,  Generating log file
2017-03-29  08:24:12.449,  loading data from: cat_outline_11_9_16_tsp.csv
2017-03-29  08:24:12.592,  Connected to Arduino on /dev/ttyACM0
2017-03-29  08:24:14.625,  2 / 702,   -2.0 -5.0
2017-03-29  08:24:14.707,  3 / 702,   -3.0 -5.0
2017-03-29  08:24:14.957,  4 / 702,   -3.0 -5.0
2017-03-29  08:24:15.299,  5 / 702,   -3.0 -5.0
2017-03-29  08:24:15.642,  6 / 702,   -5.0 -5.0
2017-03-29  08:24:15.984,  7 / 702,   -4.0 -7.0
2017-03-29  08:24:16.272,  8 / 702,   -6.0 -9.0
2017-03-29  08:24:16.719,  9 / 702,   -6.0 -9.0
2017-03-29  08:24:17.197,  10 / 702,   -19.0 -22.0
2017-03-29  08:24:17.678,  11 / 702,   -5.0 -5.0
2017-03-29  08:24:18.687,  12 / 702,   -6.0 -4.0
2017-03-29  08:24:18.980,  13 / 702,   -4.0 -4.0
2017-03-29  08:24:19.325,  14 / 702,   -2.0 -5.0
2017-03-29  08:24:19.669,  15 / 702,   1.0 -5.0
2017-03-29  08:24:19.917,  16 / 702,   2.0 -6.0
2017-03-29  08:24:20.264,  17 / 702,   4.0 -8.0
2017-03-29  08:24:20.642,  18 / 702,   2.0 -8.0
2017-03-29  08:24:21.132,  19 / 702,   2.0 -6.0
2017-03-29  08:24:21.611,  20 / 702,   2.0 -5.0
2017-03-29  08:24:22.059,  21 / 702,   2.0 -6.0
2017-03-29  08:24:22.334,  22 / 702,   2.0 -9.0
2017-03-29  08:24:22.785,  23 / 702,   7.0 -14.0
2017-03-29  08:24:23.260,  24 / 702,   3.0 -6.0
2017-03-29  08:24:23.986,  25 / 702,   3.0 -6.0
2017-03-29  08:24:24.376,  26 / 702,   2.0 -8.0
2017-03-29  08:24:24.822,  27 / 702,   2.0 -5.0
2017-03-29  08:24:25.297,  28 / 702,   4.0 -6.0
2017-03-29  08:24:25.640,  29 / 702,   -2.0 -5.0
2017-03-29  08:24:26.085,  30 / 702,   5.0 -1.0
2017-03-29  08:24:26.349,  31 / 702,   4.0 1.0
2017-03-29  08:24:26.615,  32 / 702,   6.0 -4.0
2017-03-29  08:24:26.958,  33 / 702,   3.0 2.0
2017-03-29  08:24:27.404,  34 / 702,   6.0 -6.0
2017-03-29  08:24:27.558,  35 / 702,   6.0 -1.0
2017-03-29  08:24:27.807,  36 / 702,   6.0 -6.0
2017-03-29  08:24:28.080,  37 / 702,   6.0 -1.0
2017-03-29  08:24:28.352,  38 / 702,   6.0 -6.0
2017-03-29  08:24:28.633,  39 / 702,   8.0 -4.0
2017-03-29  08:24:28.858,  40 / 702,   7.0 -5.0
2017-03-29  08:24:29.220,  41 / 702,   7.0 -5.0
2017-03-29  08:24:29.664,  42 / 702,   7.0 -5.0
2017-03-29  08:24:30.041,  43 / 702,   4.0 -4.0
2017-03-29  08:24:30.488,  44 / 702,   6.0 -6.0
2017-03-29  08:24:30.631,  45 / 702,   4.0 -8.0
2017-03-29  08:24:30.683,  46 / 702,   -1.0 -4.0
2017-03-29  08:24:31.075,  47 / 702,   -1.0 -5.0
2017-03-29  08:24:31.422,  48 / 702,   -3.0 -4.0
2017-03-29  08:24:31.766,  49 / 702,   0.0 -5.0
2017-03-29  08:24:32.048,  50 / 702,   -4.0 -3.0
2017-03-29  08:24:32.396,  51 / 702,   -3.0 -4.0
2017-03-29  08:24:32.639,  52 / 702,   -3.0 -4.0
2017-03-29  08:24:32.909,  53 / 702,   -3.0 -4.0
2017-03-29  08:24:33.281,  54 / 702,   -6.0 -1.0
2017-03-29  08:24:33.564,  55 / 702,   -4.0 -2.0
2017-03-29  08:24:33.931,  56 / 702,   -5.0 -1.0
2017-03-29  08:24:34.275,  57 / 702,   -1.0 -4.0
2017-03-29  08:24:34.562,  58 / 702,   -7.0 0.0
2017-03-29  08:24:34.824,  59 / 702,   -6.0 1.0
2017-03-29  08:24:35.172,  60 / 702,   -6.0 1.0
2017-03-29  08:24:35.615,  61 / 702,   -4.0 1.0
2017-03-29  08:24:36.059,  62 / 702,   -8.0 6.0
2017-03-29  08:24:36.353,  63 / 702,   0.0 -3.0
2017-03-29  08:24:36.896,  64 / 702,   -1.0 -4.0
2017-03-29  08:24:37.038,  65 / 702,   -2.0 -4.0
2017-03-29  08:24:37.323,  66 / 702,   -1.0 -5.0
2017-03-29  08:24:37.670,  67 / 702,   0.0 -5.0
2017-03-29  08:24:37.950,  68 / 702,   -3.0 -4.0
2017-03-29  08:24:38.328,  69 / 702,   -1.0 -6.0
2017-03-29  08:24:38.629,  70 / 702,   0.0 -5.0
2017-03-29  08:24:39.059,  71 / 702,   -1.0 -6.0
2017-03-29  08:24:39.351,  72 / 702,   -3.0 -4.0
2017-03-29  08:24:39.798,  73 / 702,   -3.0 -2.0
2017-03-29  08:24:40.143,  74 / 702,   -2.0 -2.0
2017-03-29  08:24:40.291,  75 / 702,   -3.0 -2.0
2017-03-29  08:24:40.469,  76 / 702,   -3.0 -2.0
2017-03-29  08:24:40.647,  77 / 702,   -4.0 -1.0
2017-03-29  08:24:40.894,  78 / 702,   -3.0 0.0
2017-03-29  08:24:41.171,  79 / 702,   -3.0 0.0
2017-03-29  08:24:41.421,  80 / 702,   -3.0 1.0
2017-03-29  08:24:41.595,  81 / 702,   -3.0 1.0
2017-03-29  08:24:41.838,  82 / 702,   -4.0 1.0
2017-03-29  08:24:42.029,  83 / 702,   -5.0 3.0
